               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029109,           0.0099222,                   0,            0.007277,            0.064516,           0.0029016,          0.00056717,            0.037556,           0.0069691,                   0,          0.00033242,          0.00033242,             0.06709
                   1,            0.022371,           0.0060989,                   0,            0.014501,            0.096774,           0.0061816,           0.0011744,            0.030715,           0.0049109,                   0,           0.0006643,           0.0006643,            0.034089
                   2,            0.018207,           0.0046997,                   0,            0.080422,             0.25806,            0.052277,            0.010884,            0.028488,           0.0036856,                   0,          0.00099036,          0.00099036,           0.0010814
                   3,             0.01522,           0.0038353,                   0,             0.36582,             0.45161,             0.33595,            0.093079,            0.023661,           0.0031439,                   0,          0.00098042,          0.00098042,          0.00098042
                   4,            0.013946,           0.0034286,                   0,             0.36683,             0.48387,             0.36736,             0.18245,            0.020319,            0.003005,                   0,          0.00098042,          0.00098042,          0.00098042
                   5,            0.012957,           0.0032082,                   0,             0.51424,             0.47815,             0.46682,             0.22754,            0.021112,           0.0027216,                   0,          0.00096542,          0.00096542,          0.00096542
                   6,            0.011893,           0.0030876,                   0,             0.56435,             0.56414,             0.52743,             0.26514,            0.017439,           0.0026662,                   0,          0.00094641,          0.00094641,          0.00094641
                   7,           0.0099173,           0.0029429,                   0,             0.47908,             0.64516,             0.54734,             0.19606,            0.019295,           0.0025376,                   0,          0.00092361,          0.00092361,          0.00092361
                   8,            0.010603,           0.0028802,                   0,             0.65146,              0.6129,             0.63282,              0.3441,            0.017534,           0.0025057,                   0,          0.00089726,          0.00089726,          0.00089726
                   9,            0.010006,           0.0028173,                   0,             0.69646,             0.59677,             0.63145,             0.32381,            0.017307,           0.0023856,                   0,          0.00086765,          0.00086765,          0.00086765
                  10,            0.010085,           0.0026884,                   0,             0.63546,             0.54839,             0.58089,             0.16593,            0.019888,           0.0021726,                   0,          0.00083511,          0.00083511,          0.00083511
                  11,           0.0094181,           0.0026643,                   0,             0.65376,             0.63961,             0.66004,             0.25333,            0.019202,           0.0021559,                   0,              0.0008,              0.0008,              0.0008
                  12,            0.010085,           0.0025376,                   0,             0.79351,             0.55791,             0.68208,             0.29218,            0.017872,           0.0021653,                   0,          0.00076269,          0.00076269,          0.00076269
                  13,           0.0092612,           0.0023805,                   0,              0.7923,             0.67681,             0.70026,             0.35258,            0.018453,           0.0020419,                   0,          0.00072361,          0.00072361,          0.00072361
                  14,           0.0092428,           0.0023258,                   0,             0.62315,             0.56452,             0.51461,             0.10473,            0.021208,           0.0018373,                   0,          0.00068316,          0.00068316,          0.00068316
                  15,           0.0091663,            0.002291,                   0,             0.71941,             0.79032,             0.78557,             0.43384,            0.017564,           0.0019422,                   0,          0.00064181,          0.00064181,          0.00064181
                  16,           0.0088344,           0.0022581,                   0,             0.71406,             0.80645,             0.72378,             0.33405,            0.018863,           0.0018304,                   0,              0.0006,              0.0006,              0.0006
                  17,           0.0086921,           0.0021797,                   0,             0.73256,             0.75114,             0.76549,             0.39618,            0.018087,           0.0018332,                   0,          0.00055819,          0.00055819,          0.00055819
                  18,           0.0089297,           0.0022069,                   0,              0.8417,             0.77185,             0.82741,             0.42046,             0.01688,           0.0017699,                   0,          0.00051684,          0.00051684,          0.00051684
                  19,            0.008749,           0.0020496,                   0,             0.93981,             0.75557,             0.84168,             0.46752,            0.015201,           0.0017341,                   0,          0.00047639,          0.00047639,          0.00047639
                  20,           0.0085167,            0.002042,                   0,             0.91927,             0.77419,             0.84395,              0.4064,            0.016423,           0.0017069,                   0,          0.00043731,          0.00043731,          0.00043731
                  21,           0.0081135,           0.0019175,                   0,             0.90348,             0.75806,             0.81961,             0.49939,            0.016172,           0.0017049,                   0,              0.0004,              0.0004,              0.0004
                  22,           0.0084799,           0.0019083,                   0,             0.83623,              0.7412,             0.82004,             0.38867,            0.016928,           0.0016773,                   0,          0.00036489,          0.00036489,          0.00036489
                  23,           0.0076544,            0.001886,                   0,             0.89968,             0.72581,             0.81941,             0.39442,             0.01621,            0.001687,                   0,          0.00033235,          0.00033235,          0.00033235
                  24,           0.0078788,           0.0018517,                   0,             0.95731,             0.72581,             0.84643,             0.43233,            0.015768,           0.0016186,                   0,          0.00030274,          0.00030274,          0.00030274
                  25,           0.0077418,           0.0018961,                   0,             0.87719,             0.80645,             0.86123,             0.51639,            0.014479,           0.0016453,                   0,          0.00027639,          0.00027639,          0.00027639
                  26,           0.0079119,           0.0018443,                   0,             0.89256,             0.80645,             0.84133,             0.35958,            0.017538,           0.0016066,                   0,          0.00025359,          0.00025359,          0.00025359
                  27,           0.0071536,           0.0017768,                   0,             0.94229,             0.79001,             0.85451,              0.5071,            0.014637,           0.0016679,                   0,          0.00023458,          0.00023458,          0.00023458
                  28,           0.0075385,           0.0018665,                   0,             0.91193,             0.83871,             0.86544,             0.43931,            0.016134,           0.0015746,                   0,          0.00021958,          0.00021958,          0.00021958
                  29,           0.0070332,            0.001803,                   0,             0.89438,             0.82258,             0.87178,              0.4872,            0.016329,           0.0015673,                   0,          0.00020874,          0.00020874,          0.00020874
