Name,Latitude,Longitude
کاروانسرای یام,38.344328,45.834966
کاروانسرای خواجه نظر,38.977452,45.577038
کاروانسرای جمال آباد,37.271923,47.843075
کاروانسرای رباط شرق,36.26649,60.655253
کاروانسرای منظریه,34.891223,50.819861
کاروانسرای دیرگچین,35.058296,51.420074
کاروانسرای علی آباد,35.131571,50.975915
کاروانسرای ده‌نمک,35.255249,52.731129
کاروانسرای بیستون,34.384346,47.435001
کاروانسرای مهیار,32.265007,51.809769
کاروانسرای عسگر آباد,34.82777,50.841606
کاروانسرای خاتون آباد,35.497887,51.660736
کاروانسرای زعفرانیه سبزوار,36.165718,58.086281
کاروانسرای سبزوار,36.207683,57.667475
کاروانسرای کنارگرد,35.375961,51.253624
کاروانسرای طینوج,34.549715,50.28841
کاروانسرای بلا آباد,32.742287,52.901138
کاروانسرای قصر بهرام,34.765312,52.17712
کاروانسرای آهوان,35.770673,53.732349
کاروانسرای شورجستان,31.380817,52.42664
کاروانسرای مادرشاه,33.013214,51.499207
کاروانسرای خرگوشی ندوشن-عقدا,32.198635,53.191185
کاروانسرای نیستانک,32.97118,52.799305
کاروانسرای شاهی میبد,32.227928,54.009365
کاروانسرای امام زاده هاشم,37.029885,49.635336
کاروانسرای عین‌الرشید,34.746006,52.162971
کاروانسرای صدرآیاد,34.890522,51.073212
کاروانسرای سفیدآباد اصفهان,34.362499,52.253662
کاروانسرای بستک,27.198391,54.375961
کاروانسرای قلعه سنگی نزدیک پرند,35.458141,50.974537
کاروانسرای حاج کمال، رباط کریم,35.472427,51.083759
کاروانسرای میاندشت,36.428104,56.060658
کاروانسرای رباط یونسی,34.805862,58.443005
کاروانسرای فخرداود,35.999973,59.313454
کاروانسرای سنگ بست، خراسان,35.991681,59.761176
کاروانسرای طرق,36.195536,59.621511
کاروانسرای قدمگاه,36.107117,59.061306
کاروانسرای رباط قره بیل,37.350735,56.315716
کاروانسرای جوخواه,33.719242,56.804352
کاروانسرای ده ملا,36.281551,54.761841
کاروانسرای چاه خوشاب,33.749405,57.835326
کاروانسرای مهر,36.284565,57.143518
کاروانسرای رباط قلی,37.15323,56.920865
کاروانسرای دیهوک,33.287591,57.510643
کاروانسرای ایوانکی,35.339787,52.047775
کاروانسرای دامغان,36.168285,54.343445
کاروانسرای قوشه چاه,35.960941,54.044921
کاروانسرای خان خوره,30.843864,53.132412
کاروانسرای دو کوهک,29.793053,52.416644
کاروانسرای ایزدخواست,31.513323,52.133038
کاروانسرای جهرم,28.501806,53.552929
کاروانسرای ینگی امام,35.936249,50.719574
کاروانسرای رباط,30.247284,56.578247
کاروانسرای ماهیدشت,34.268444,46.805357
کاروانسرای تی‌تی (سیاهکل),37.044819,49.90226
کاروانسرای آوه,34.796932,50.426121
کاروانسرای عبدالغفار خان,34.99081,50.446896
کاروانسرای مرنجاب,34.299182,51.812386
کاروانسرای چاه کوران,31.569328,56.850204
کاروانسرای پشت بادام,33.01673,55.55897
کاروانسرای سگزی,32.693974,52.12225
کاروانسرای عباس آباد- جندق,33.521713,54.433784
کاروانسرای حوض سلطان,35.081795,51.111088
کاروانسرای سن سن,34.248848,51.280296
کاروانسرای کوهاب نظنز,33.517017,51.90619
کاروانسرای برسیان,32.522138,52.033436
کاروانسرای گز,32.80928,51.609348
کاروانسرای طور (در),33.28664,50.631828
کاروانسرای رباط آغا کمال وزوان,33.491806,51.356018
کاروانسرای ظفرقند,33.178257,52.478382
کاروانسرای مزینان,36.307877,56.806396
کاروانسرای میامی,36.409209,55.653369
کاروانسرای قاسم آباد,34.51766,57.849527
کاروانسرای کویر الله آباد,32.709624,55.372716
کاروانسرای ساغند,32.527851,55.24189
کاروانسرای خرانق,32.344898,54.667946
کاروانسرا ده بید,30.612512,53.196097
کاروانسرای چنار راهدار,29.618269,52.424622
کاروانسرای الخلج- تیکمه داش- گیلک,37.718051,46.97955
کاروانسرای هجیب,35.543304,50.164951
کاروانسرای طلب (طلاب),34.553043,50.63586
کاروانسرای دو دهک,34.141132,50.563251
کاروانسرای ابو زید آباد,33.902549,51.764585
کاروانسرای خشک‌رود,35.412031,50.20649
کاروانسرای آوج,35.578033,49.223091
